sev_numeric,cvss_score,cwe,cwe_tier,has_mitigation,verified,duplicate,false_positive,scanner_confidence,risk_accepted,risk_label,log_age,cvss_x_sev,is_old,no_fix,high_cwe
2,4.3,120,3,1,1,0,0,4,0,1,6.455198563340122,8.6,1,0,1
3,6.1,327,3,1,1,0,0,4,0,2,6.452048954437226,18.299999999999997,1,0,1
0,0.4,754,2,1,1,0,0,2,0,0,6.311734809152915,0.0,1,0,1
4,7.3,330,3,1,0,0,0,2,0,2,4.7535901911063645,29.2,0,0,1
3,5.2,377,1,1,0,0,0,2,0,2,5.872117789475416,15.600000000000001,1,0,0
3,6.6,908,2,0,1,0,0,2,0,2,6.508769136971682,19.799999999999997,1,1,1
1,1.5,674,2,0,0,0,0,5,0,1,4.962844630259907,1.5,0,1,1
2,1.8,571,1,0,1,0,0,3,0,1,6.018593214496234,3.6,1,1,0
2,4.5,330,3,1,0,0,0,5,0,2,6.342121418721152,9.0,1,0,1
4,7.2,284,1,1,0,0,0,5,0,2,5.860786223465865,28.8,1,0,0
2,4.4,22,3,0,1,0,0,4,0,2,4.060443010546419,8.8,0,1,1
3,7.1,407,1,0,0,0,0,4,0,2,3.871201010907891,21.299999999999997,0,1,0
1,2.8,134,3,0,1,0,0,1,0,1,2.9444389791664403,2.8,0,1,1
2,4.1,22,3,1,0,0,0,4,0,1,2.4849066497880004,8.2,0,0,1
0,1.3,377,1,0,0,0,0,5,0,0,6.54534966033442,0.0,1,1,0
3,5.2,362,1,1,0,0,0,5,0,2,5.966146739123692,15.600000000000001,1,0,0
2,4.0,362,1,1,0,0,0,2,1,1,5.846438775057725,8.0,1,0,0
3,6.5,74,2,1,1,0,0,4,1,2,4.30406509320417,19.5,0,0,1
2,3.8,284,1,1,0,0,0,4,0,1,6.354370040797351,7.6,1,0,0
4,8.9,908,2,0,0,0,0,1,0,3,5.921578419643816,35.6,1,1,1
3,5.7,190,3,1,0,0,0,5,0,2,5.081404364984463,17.1,0,0,1
3,7.7,674,2,1,1,0,0,2,1,2,6.309918278226516,23.1,1,0,1
1,3.7,674,2,1,0,0,0,4,0,1,5.159055299214529,3.7,0,0,1
0,0.4,74,2,0,1,0,0,5,0,1,6.013715156042802,0.0,1,1,1
1,3.0,74,2,1,0,0,0,3,0,1,5.318119993844216,3.0,1,0,1
2,3.1,0,0,0,1,0,0,5,1,1,6.461468176353717,6.2,1,1,0
3,5.0,563,1,1,0,0,0,5,0,2,6.2422232654551655,15.0,1,0,0
4,9.0,190,3,0,1,0,0,1,0,3,5.351858133476067,36.0,1,1,1
1,2.2,563,1,0,0,0,0,3,0,1,4.74493212836325,2.2,0,1,0
2,3.4,0,0,0,0,0,0,2,0,1,3.4011973816621555,6.8,0,1,0
1,2.7,89,3,1,0,0,0,1,0,1,6.202535517187923,2.7,1,0,1
2,4.8,467,1,1,1,0,0,5,0,1,5.6240175061873385,9.6,1,0,0
2,4.5,248,2,0,0,0,0,1,0,2,5.501258210544727,9.0,1,1,1
3,6.3,94,3,0,0,0,0,5,0,2,6.008813185442595,18.9,1,1,1
3,4.8,571,1,0,1,0,0,1,0,2,6.413458957167357,14.399999999999999,1,1,0
1,2.5,754,2,0,1,0,0,2,0,1,1.3862943611198906,2.5,0,1,1
3,6.5,561,1,0,1,0,0,5,0,2,6.553933404025811,19.5,1,1,0
3,7.0,561,1,1,0,0,0,2,0,2,6.144185634125646,21.0,1,0,0
1,0.6,287,3,1,1,0,0,2,0,1,3.6375861597263857,0.6,0,0,1
2,3.7,400,3,1,1,0,0,4,0,2,6.253828811575473,7.4,1,0,1
1,2.1,79,3,0,1,0,0,4,0,1,6.016157159698354,2.1,1,1,1
3,5.8,459,1,1,0,0,0,5,1,1,6.418364935936212,17.4,1,0,0
3,5.1,369,1,1,0,0,0,3,0,1,5.476463551931511,15.299999999999999,1,0,0
3,5.2,176,2,0,0,0,0,1,0,2,6.198478716492308,15.600000000000001,1,1,1
2,3.2,79,3,0,1,0,0,3,0,1,3.7376696182833684,6.4,0,1,1
2,3.7,120,3,0,0,0,0,3,0,2,6.016157159698354,7.4,1,1,1
1,1.0,119,3,1,0,0,0,5,0,1,4.672828834461906,1.0,0,0,1
1,2.0,200,1,1,1,0,0,2,0,1,5.41610040220442,2.0,1,0,0
2,3.4,459,1,0,1,0,0,5,0,1,5.736572297479192,6.8,1,1,0
2,4.7,456,1,1,0,0,0,5,0,1,6.447305862541213,9.4,1,0,0
3,6.0,79,3,0,0,0,0,5,0,2,4.1588830833596715,18.0,0,1,1
2,4.9,561,1,1,1,0,0,1,0,1,6.565264970035361,9.8,1,0,0
2,3.8,571,1,0,0,0,0,1,0,1,6.248042874508429,7.6,1,1,0
2,4.0,78,3,1,1,0,0,2,0,1,5.752572638825633,8.0,1,0,1
0,0.0,327,3,1,1,0,0,2,0,0,3.4339872044851463,0.0,0,0,1
2,4.6,362,1,1,0,0,0,5,0,1,5.71042701737487,9.2,1,0,0
1,1.7,120,3,0,1,0,0,3,0,1,6.035481432524756,1.7,1,1,1
2,4.4,459,1,0,0,0,0,2,0,1,5.91350300563827,8.8,1,1,0
1,2.6,0,0,1,0,0,0,5,0,1,6.163314804034641,2.6,1,0,0
1,2.0,362,1,0,0,0,0,3,0,1,5.472270673671475,2.0,1,1,0
2,5.2,327,3,0,1,0,0,2,0,2,5.780743515792329,10.4,1,1,1
3,4.8,119,3,1,1,0,0,4,0,2,6.061456918928017,14.399999999999999,1,0,1
2,3.5,570,1,1,1,0,0,4,0,1,4.532599493153256,7.0,0,0,0
2,2.9,369,1,1,1,0,0,2,0,1,6.513230110912307,5.8,1,0,0
3,4.9,78,3,1,0,0,0,2,0,2,4.997212273764115,14.700000000000001,0,0,1
1,2.5,0,0,1,0,0,0,4,0,0,6.19644412779452,2.5,1,0,0
0,0.0,456,1,0,0,0,0,1,0,0,2.5649493574615367,0.0,0,1,0
0,0.0,330,3,1,0,0,0,5,0,1,5.225746673713202,0.0,1,0,1
3,5.7,176,2,1,0,0,0,3,0,2,6.023447592961033,17.1,1,0,1
2,3.5,377,1,0,0,0,0,3,0,1,6.428105272684596,7.0,1,1,0
1,3.3,369,1,1,1,0,0,3,0,1,6.018593214496234,3.3,1,0,0
2,3.4,176,2,0,0,0,0,3,0,1,3.713572066704308,6.8,0,1,1
2,4.6,78,3,0,1,0,0,4,0,2,5.293304824724492,9.2,1,1,1
2,3.8,248,2,0,0,0,0,5,0,1,5.58724865840025,7.6,1,1,1
2,5.6,400,3,1,0,0,0,4,0,2,4.3694478524670215,11.2,0,0,1
1,1.6,327,3,0,1,0,0,4,0,1,6.2324480165505225,1.6,1,1,1
2,4.9,362,1,1,1,0,0,4,0,1,5.081404364984463,9.8,0,0,0
0,0.0,20,2,1,1,0,0,3,0,0,6.142037405587356,0.0,1,0,1
4,8.6,119,3,1,0,0,0,3,0,3,5.961005339623274,34.4,1,0,1
3,6.5,571,1,1,1,0,0,2,0,2,6.184148890937483,19.5,1,0,0
2,2.9,190,3,0,0,0,0,2,0,2,6.385194398997726,5.8,1,1,1
1,1.1,20,2,0,0,0,0,5,0,1,6.230481447578482,1.1,1,1,1
4,6.0,134,3,1,1,0,0,4,0,2,6.028278520230698,24.0,1,0,1
3,6.5,377,1,1,1,0,0,3,0,1,3.2188758248682006,19.5,0,0,0
2,3.9,20,2,0,1,0,0,1,0,1,6.045005314036012,7.8,1,1,1
1,0.6,561,1,0,0,0,0,5,0,1,5.971261839790462,0.6,1,1,0
3,5.6,674,2,1,1,0,0,4,1,2,6.285998094508865,16.799999999999997,1,0,1
1,2.1,571,1,0,0,0,0,4,1,1,5.908082938168931,2.1,1,1,0
1,2.5,571,1,1,0,0,0,5,0,1,4.59511985013459,2.5,0,0,0
2,5.8,377,1,0,1,0,0,2,0,1,5.777652323222656,11.6,1,1,0
3,5.3,571,1,1,1,0,0,4,0,2,6.066108090103747,15.899999999999999,1,0,0
3,4.7,89,3,1,0,0,0,3,0,2,5.993961427306569,14.100000000000001,1,0,1
2,3.7,0,0,1,0,0,0,4,0,1,6.052089168924417,7.4,1,0,0
2,4.0,908,2,1,1,0,0,2,0,1,4.867534450455582,8.0,0,0,1
2,3.4,20,2,0,1,0,0,5,0,2,6.436150368369428,6.8,1,1,1
0,0.0,400,3,1,1,0,0,1,0,1,5.683579767338681,0.0,1,0,1
2,5.4,456,1,0,1,0,0,4,0,2,5.0238805208462765,10.8,0,1,0
2,2.7,134,3,0,1,0,0,2,0,1,3.1780538303479458,5.4,0,1,1
1,2.7,200,1,0,1,0,0,1,0,1,5.53338948872752,2.7,1,1,0
1,1.4,119,3,0,1,0,0,1,0,1,6.295266001439646,1.4,1,1,1
1,2.9,248,2,0,1,0,0,1,0,1,5.703782474656201,2.9,1,1,1
2,3.4,908,2,1,1,0,0,2,0,1,6.421622267806518,6.8,1,0,1
4,8.3,119,3,0,1,0,0,2,1,3,6.152732694704104,33.2,1,1,1
1,2.6,287,3,1,1,0,0,4,0,1,5.8377304471659395,2.6,1,0,1
4,8.6,415,1,0,0,0,0,1,0,3,6.318968113746434,34.4,1,1,0
2,4.2,407,1,1,0,0,0,2,0,1,5.602118820879701,8.4,1,0,0
3,5.9,400,3,1,0,0,0,4,0,2,5.720311776607412,17.700000000000003,1,0,1
0,0.0,94,3,0,1,0,0,4,0,1,5.6937321388027,0.0,1,1,1
2,4.0,248,2,0,0,0,0,4,0,1,6.068425588244111,8.0,1,1,1
4,7.7,89,3,0,0,0,0,3,0,2,5.968707559985366,30.8,1,1,1
2,5.0,674,2,0,0,0,0,2,0,2,5.752572638825633,10.0,1,1,1
2,2.9,362,1,0,0,0,0,3,0,1,5.673323267171493,5.8,1,1,0
1,3.3,330,3,1,0,0,0,1,0,1,6.0063531596017325,3.3,1,0,1
1,2.0,22,3,0,1,0,0,4,0,1,6.408528791059498,2.0,1,1,1
2,4.3,200,1,1,1,0,0,1,0,1,6.559615237493242,8.6,1,0,0
2,3.7,78,3,0,1,0,0,4,0,2,3.8066624897703196,7.4,0,1,1
0,0.0,74,2,1,1,0,0,4,0,0,5.159055299214529,0.0,0,0,1
3,5.9,459,1,0,0,0,0,5,0,2,6.2166061010848646,17.700000000000003,1,1,0
1,2.5,476,3,1,1,0,0,4,0,1,6.100318952020064,2.5,1,0,1
2,3.8,22,3,1,1,0,0,4,0,1,5.736572297479192,7.6,1,0,1
1,0.2,248,2,1,0,0,0,2,0,1,4.941642422609304,0.2,0,0,1
2,2.8,327,3,1,1,0,0,4,0,2,5.908082938168931,5.6,1,0,1
1,3.6,563,1,0,0,0,0,3,0,1,5.918893854273146,3.6,1,1,0
2,3.1,377,1,0,1,0,0,3,0,1,6.255750041753367,6.2,1,1,0
3,7.1,787,3,1,0,0,0,4,0,2,6.401917196727186,21.299999999999997,1,0,1
3,5.3,415,1,1,0,0,0,2,0,1,6.548219102762372,15.899999999999999,1,0,0
3,6.5,674,2,1,1,0,0,1,0,2,6.220590170099739,19.5,1,0,1
1,1.3,570,1,0,1,0,0,2,0,1,6.354370040797351,1.3,1,1,0
0,1.3,134,3,1,1,0,0,5,0,1,6.580639137284949,0.0,1,0,1
3,5.8,176,2,1,1,0,0,5,0,2,5.521460917862246,17.4,1,0,1
4,7.9,20,2,0,1,0,0,2,0,3,5.4116460518550396,31.6,1,1,1
1,3.4,248,2,0,0,0,0,2,0,1,5.8971538676367405,3.4,1,1,1
4,8.4,476,3,0,0,0,0,4,0,3,4.919980925828125,33.6,0,1,1
1,1.1,284,1,1,0,0,0,4,0,0,4.532599493153256,1.1,0,0,0
0,0.2,561,1,0,0,0,0,4,0,0,4.969813299576001,0.0,0,1,0
2,4.0,362,1,1,0,0,0,3,0,1,5.755742213586912,8.0,1,0,0
4,7.3,284,1,0,0,0,0,4,0,2,5.707110264748875,29.2,1,1,0
